Date,Open,High,Low,Close,Adj Close,Volume
2000-05-08,108.062500,110.375000,107.625000,109.750000,80.746483,4826900
2000-05-09,110.500000,110.625000,108.250000,109.000000,80.194664,4864900
2000-05-10,105.500000,105.687500,102.062500,103.000000,75.780296,10012700
2000-05-11,104.000000,107.500000,103.187500,104.437500,76.837929,8106200
2000-05-12,103.750000,105.750000,103.250000,104.437500,76.837929,5599700
2000-05-15,104.000000,104.875000,102.000000,104.187500,76.653954,5907800
2000-05-16,105.125000,109.250000,105.000000,109.000000,80.194664,7265800
2000-05-17,107.500000,108.875000,106.125000,107.875000,79.366997,5524500
2000-05-18,106.125000,107.312500,104.687500,106.062500,78.033478,4577200
2000-05-19,106.062500,107.500000,105.000000,106.437500,78.309334,6419200
2000-05-22,106.000000,109.250000,103.437500,109.250000,80.378647,6769400
2000-05-23,109.000000,110.000000,107.125000,107.375000,78.999146,5978900
2000-05-24,106.500000,110.000000,104.187500,109.625000,80.654495,8184200
2000-05-25,110.500000,112.250000,106.375000,106.500000,78.355362,5967600
2000-05-26,105.500000,107.187500,104.562500,106.937500,78.677231,4296900
2000-05-30,107.750000,111.000000,107.687500,110.937500,81.620163,3617500
2000-05-31,110.500000,110.750000,107.187500,107.312500,78.953140,3732500
2000-06-01,107.562500,108.937500,105.500000,106.000000,77.987488,5712500
2000-06-02,109.000000,109.750000,107.625000,108.812500,80.056763,5473300
2000-06-05,108.437500,114.187500,108.437500,112.812500,82.999664,7281400
2000-06-06,112.250000,114.625000,111.250000,112.375000,82.677765,5369400
2000-06-07,112.500000,121.750000,111.500000,121.000000,89.023453,11115500
2000-06-08,119.375000,122.312500,117.500000,119.750000,88.103767,9325600
2000-06-09,119.875000,120.750000,118.875000,119.687500,88.057800,4739100
2000-06-12,119.125000,120.437500,118.843697,118.843697,87.436996,3640300
2000-06-13,118.875000,119.937500,116.750000,119.312500,87.781891,4008600
2000-06-14,118.875000,120.000000,115.500000,116.000000,85.344780,5282600
2000-06-15,116.000000,119.000000,115.875000,116.812500,85.942558,5386300
2000-06-16,116.312500,117.687500,113.250000,113.250000,83.321541,8046200
2000-06-19,113.500000,120.375000,113.250000,120.375000,88.563599,6059200
2000-06-20,120.000000,120.687500,115.375000,116.375000,85.620682,7103800
2000-06-21,115.562500,115.937500,113.500000,114.500000,84.241203,6487000
2000-06-22,114.125000,114.312500,111.250000,111.812500,82.263916,4853100
2000-06-23,113.500000,113.625000,110.812500,111.875000,82.309891,3360900
2000-06-26,113.000000,115.750000,112.875000,114.406197,84.172188,3625900
2000-06-27,111.625000,112.812500,108.750000,109.750000,80.746483,6607900
2000-06-28,110.000000,115.187500,109.875000,113.781197,83.712379,6436600
2000-06-29,111.750000,114.375000,110.062500,114.000000,83.873352,7688500
2000-06-30,112.687500,113.187500,108.625000,109.562500,80.608521,8612600
2000-07-03,108.750000,109.875000,108.312500,109.500000,80.562553,2304400
2000-07-05,105.625000,105.625000,101.125000,105.000000,77.251747,14339600
2000-07-06,105.000000,105.125000,100.000000,101.250000,74.492775,12932700
2000-07-07,102.687500,105.062500,101.625000,105.062500,77.297729,9031700
2000-07-10,104.687500,104.937500,102.875000,103.312500,76.010216,4212200
2000-07-11,103.250000,104.000000,101.000000,102.000000,75.044579,5619800
2000-07-12,103.187500,105.875000,102.625000,104.625000,76.975838,5550500
2000-07-13,105.437500,105.937500,102.000000,104.000000,76.516022,5669700
2000-07-14,103.750000,104.875000,103.125000,103.937500,76.470062,4020000
2000-07-17,104.437500,107.875000,104.187500,105.500000,77.619621,6632700
2000-07-18,104.125000,104.812500,102.625000,103.312500,76.010216,6452700
2000-07-19,102.375000,109.500000,101.000000,108.750000,80.010735,7781400
2000-07-20,112.000000,117.812500,111.750000,117.250000,86.264458,23048400
2000-07-21,117.000000,117.000000,113.750000,114.750000,84.425125,8966400
2000-07-24,114.125000,115.625000,111.625000,112.500000,82.769737,6814400
2000-07-25,113.250000,113.375000,110.250000,112.000000,82.401863,5566900
2000-07-26,111.000000,112.375000,108.875000,109.875000,80.838440,6670400
2000-07-27,109.875000,111.500000,109.312500,110.312500,81.160332,4047400
2000-07-28,111.125000,112.500000,108.875000,111.812500,82.263916,5355600
2000-07-31,110.500000,113.687500,110.062500,112.250000,82.585785,5113500
2000-08-01,112.000000,112.437500,110.250000,110.500000,81.298294,2996500
2000-08-02,111.000000,114.875000,110.750000,114.250000,84.057266,5877900
2000-08-03,113.000000,116.500000,112.312500,116.000000,85.344780,5567400
2000-08-04,116.000000,116.500000,114.312500,115.875000,85.252823,4460500
2000-08-07,116.625000,119.000000,115.812500,116.312500,85.574684,5910700
2000-08-08,115.687500,119.625000,115.562500,118.875000,87.557884,5736700
2000-08-09,119.000000,120.812500,118.750000,118.750000,87.465813,6585400
2000-08-10,118.750000,120.250000,117.875000,119.750000,88.202377,5484100
2000-08-11,119.750000,121.812500,119.187500,120.625000,88.846870,6142400
2000-08-14,120.000000,123.687500,119.312500,123.250000,90.780304,4949400
2000-08-15,122.062500,122.625000,120.750000,122.000000,89.859573,4378100
2000-08-16,121.062500,122.937500,119.500000,122.375000,90.135826,5946000
2000-08-17,119.750000,122.812500,119.500000,122.500000,90.227882,4338400
2000-08-18,122.375000,123.375000,120.125000,120.437500,88.708725,4127500
2000-08-21,121.062500,122.187500,120.062500,121.437500,89.445297,3234200
2000-08-22,121.187500,122.187500,121.000000,121.375000,89.399261,2769400
2000-08-23,120.312500,123.750000,119.875000,123.250000,90.780304,4251200
2000-08-24,123.000000,125.437500,122.687500,124.812500,91.931152,5988300
2000-08-25,124.312500,129.875000,124.250000,129.000000,95.015495,8279000
2000-08-28,129.875000,133.187500,129.750000,131.500000,96.856880,8536600
2000-08-29,131.500000,134.250000,131.000000,132.875000,97.869629,6040000
2000-08-30,130.750000,131.500000,129.562500,130.312500,95.982254,4928800
2000-08-31,131.875000,134.187500,131.625000,132.015594,97.236633,5469500
2000-09-01,133.062500,134.937500,132.625000,133.625000,98.422043,5776300
2000-09-05,132.812500,133.312500,130.812500,131.187500,96.626732,4112100
2000-09-06,130.875000,134.875000,130.375000,131.437500,96.810860,6473000
2000-09-07,131.875000,134.500000,131.875000,133.375000,98.237968,4622800
2000-09-08,132.500000,132.937500,129.375000,129.500000,95.383759,4993700
2000-09-11,127.875000,128.250000,123.625000,124.500000,91.701012,7617700
2000-09-12,124.812500,126.875000,124.062500,125.000000,92.069290,5001700
2000-09-13,123.125000,128.812500,122.750000,127.687500,94.048782,5473600
2000-09-14,128.000000,129.187500,126.312500,126.875000,93.450310,4425500
2000-09-15,126.812500,127.250000,124.750000,125.000000,92.069290,5481700
2000-09-18,125.250000,126.000000,123.062500,123.250000,90.780304,3932800
